6000;Rufst ud mich an, ### du Zeit hast?;wenn
6001; Wo wart ihr, ### wir die Weltmeisterchaft im Jahr 1998 gewonnen haben?;als
6002;Er ist zufrieden, ### er gewinnt;wenn
6003;### ich müde bin, gehe ich in die Schule.;obwohl
6004;### kommst du nach Hause?;wenn
6005;Ich gehe in die Schule, ### ich krank bin.;obwohl 
6006;Er war geärgert, ### es nicht meine Schuld war.;obwohl
6007;### du nett bist, kaufe ich dir ein Fahrrad.;wenn
6008;Er ging ins Kino, ### er nicht wollte.;obwohl
6009;### sie sich verloren haben, hatten sie Spaß.;obwohl
6010;###ich letzte Woche krank war, lag ich im Bett.;als